SRR12816718	SRR12816719	SRR12816720	SRR12816721	SRR12816722	SRR12816723	SRR12816724	SRR12816725	SRR12816726	SRR12816727	SRR12816728	SRR12816729	SRR12816730	SRR12816731	SRR12816732	SRR12816733	SRR12816734	SRR12816735	SRR12816736
ENSG00000000003	245	369	331	380	704	138	713	1051	574	537	234	169	624	289	2980	475	444	14	169
ENSG00000000005	6	28	45	1	0	3	4	2	9	35	66	14	48	21	0	15	2	0	0
ENSG00000000419	195	260	133	332	647	321	822	708	298	125	427	219	351	207	526	257	344	14	619
ENSG00000000457	216	245	38	109	385	163	207	394	312	384	517	289	568	279	344	366	322	209	325
ENSG00000000460	234	131	82	87	179	62	181	182	357	119	760	154	220	198	909	224	237	44	317
ENSG00000000938	596	242	370	696	207	1430	956	1238	845	733	885	550	888	430	140	1198	475	151	2113
ENSG00000000971	3832	6585	3095	6556	3721	1775	4706	13744	5662	3812	7331	2777	3641	3426	3504	3303	2650	1407	4762
ENSG00000001036	118	142	124	182	312	246	524	523	207	288	270	132	240	131	214	297	201	139	312
ENSG00000001084	513	322	1337	3128	771	1962	598	1505	820	792	764	450	823	508	1622	562	758	1041	1211
ENSG00000001167	454	423	103	386	139	663	471	565	804	707	1127	522	612	653	209	855	536	12	574
ENSG00000001460	165	80	828	255	156	65	68	131	237	549	260	240	317	171	79	241	449	41	144
ENSG00000001461	302	198	293	275	109	264	114	215	632	474	224	291	839	313	310	561	310	27	260
ENSG00000001497	444	253	212	473	230	562	172	387	872	1080	1205	513	764	588	1193	583	691	0	696
ENSG00000001561	908	1159	679	1121	787	428	691	2030	1050	1717	1227	759	1863	763	1263	1633	859	296	1010
ENSG00000001617	78	208	102	75	40	122	110	57	129	133	69	95	148	155	224	131	77	0	130
ENSG00000001626	221	104	153	138	75	131	40	786	199	143	575	268	749	283	178	355	171	91	23
ENSG00000001629	1668	1805	953	2364	2278	1700	2024	4048	2647	4019	2049	1490	3039	1714	2107	2315	2107	513	1972
ENSG00000001630	6	0	0	7	1	7	0	3	19	2	1	4	11	4	11	12	5	0	36
ENSG00000001631	585	871	344	495	511	396	699	550	1100	1335	956	470	789	523	1730	917	692	317	676
ENSG00000002016	159	43	27	61	68	91	94	186	553	150	311	178	203	253	66	267	226	16	30
ENSG00000002079	5	0	0	3	0	3	0	1	1	1	1	4	4	2	0	5	0	0	0
ENSG00000002330	6	17	28	1	5	3	10	5	15	7	10	8	25	8	1	11	10	0	2
ENSG00000002549	441	1965	255	320	537	500	859	1201	655	489	1060	462	1248	623	449	737	695	183	2085
ENSG00000002586	661	743	1150	1303	880	537	2074	1597	1038	1717	589	608	814	737	542	1334	559	315	1771
ENSG00000002587	210	5	200	109	59	53	241	156	135	1222	338	157	179	160	82	312	150	23	346
ENSG00000002726	0	0	1	0	5	0	0	83	0	0	0	1	0	0	1	1	0	0	0
ENSG00000002745	28	202	81	41	43	71	48	116	16	148	59	14	11	20	3	12	44	1	54
ENSG00000002746	35	34	0	8	17	2	5	15	43	13	36	21	2	58	7	28	1	0	1
ENSG00000002822	11	17	8	14	40	23	67	15	26	94	136	20	14	20	11	28	23	168	44
ENSG00000002834	638	376	476	364	594	707	1150	818	1316	733	1037	829	1128	768	1059	1102	1369	50	1401
ENSG00000002919	47	17	6	24	60	64	29	119	60	66	271	25	86	69	33	117	64	182	272
ENSG00000002933	159	117	10	258	25	32	281	472	230	108	497	158	380	123	636	144	511	71	310
ENSG00000003056	228	536	245	290	208	305	280	598	487	202	707	336	689	301	306	422	244	51	1015
ENSG00000003096	48	34	44	11	106	18	160	186	33	11	115	42	85	54	146	24	37	15	5
ENSG00000003137	45	359	0	73	1	12	49	105	8	6	63	62	42	30	17	75	31	364	88
ENSG00000003147	214	91	132	238	212	289	193	317	257	722	340	201	281	359	276	399	367	197	256
ENSG00000003249	11	0	0	1	1	1	77	11	4	1	21	15	40	20	20	2	16	0	7
ENSG00000003393	608	641	580	774	577	550	631	627	807	462	1009	596	1087	675	460	809	997	14	628
ENSG00000003400	583	738	312	330	605	290	594	819	931	552	916	416	1311	498	750	593	826	19	741
ENSG00000003402	13644	7714	5036	10224	8047	13852	11550	10683	28966	31722	25306	14465	23086	17048	19555	22087	17198	2236	10769
ENSG00000003436	12565	33607	15438	17543	21667	21455	42105	39876	16975	20463	18231	12099	30849	13880	16871	16930	13327	2817	17215
ENSG00000003509	277	264	88	172	70	155	90	301	293	135	412	118	420	257	1561	381	218	30	173
ENSG00000003756	1649	1287	1502	1997	2201	2566	1324	1778	2180	1576	2319	1871	2724	1857	2264	2057	2317	561	1799
ENSG00000003987	424	375	119	117	225	443	347	410	1218	830	690	436	266	430	174	909	181	2	129
ENSG00000003989	1107	6909	1664	1757	812	1455	1571	2902	1277	2587	2520	1079	1408	1094	695	1287	1000	1550	974
ENSG00000004059	12	86	8	28	29	29	45	26	17	7	18	17	26	13	0	9	21	0	3
ENSG00000004139	33	3	0	17	38	64	8	35	56	27	58	58	91	53	32	48	48	0	64
ENSG00000004142	91	161	127	129	117	115	208	228	139	73	167	104	276	138	24	200	63	313	187
ENSG00000004399	1086	622	443	546	556	1201	438	872	1552	1293	1859	1213	1912	1376	1543	1856	1285	320	1278
ENSG00000004455	416	684	208	198	535	894	607	1057	655	489	1035	569	686	461	392	654	650	1102	1082
ENSG00000004468	458	978	314	206	954	388	529	567	1494	1760	512	494	1744	309	50	456	622	567	1102
